,Distributor Item code,Company Dscription,new
6933,Not Define,6600600-4,OVM X ALZETTE SS SL BRTSFPOUC-U
6934,Not Define,7600600-4,OVM X WINSOM WHITE SL DC POUC-U
6935,Not Define,8600600-4,OVM X CESSNA MAGEN SLDC POUC-U
6936,Not Define,8600600-4,OVM X VERTEX SILICA SLDC POUC-U
6937,Not Define,7600600-4,OVM X DREAMS BR SL DC PO UC-U
6938,Not Define,6600x600-4,OVM  Mismolet SSSLBRTSFPOUC-U
6939,Not Define,6600600-4,OVM X LEITHA SS SL BRT SFPOUC-U
6940,Not Define,6600600-4,OVM X ANDROMEDA SL BRT SFPOUC-U
6941,Not Define,6600600-4,OVM X SABBIA SL BRT SF PO UC-U
6942,Not Define,6600600-4,OVM X VENEER SL BRT SF PO UC-U
6943,Not Define,7600600-4,OVM X DREAMS IV SL DC PO UC-U
6944,Not Define,300x600-06,KKWD  CRISIL AURIC-U
6945,Not Define,300x600-06,KKWD  PALASIA WHITE-U
6946,Not Define,300x600-06,KKWD  PALASIA DASH-U
6947,Not Define,300x600-06,KKWD  JORGE WHITE-U
